"X","id","title","type","description","release_year","age_certification","runtime","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","sport","war","animation","family","action","western","european","reality","thriller","crime","comedy","documentation","fantasy","scifi","romance","horror","history","music"
1,"tm84618","Taxi Driver","MOVIE","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.",1976,"R",114,"['US']",NA,"tt0075314",8.2,808582,40.965,8.179,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,"tm154986","Deliverance","MOVIE","Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,"R",109,"['US']",NA,"tt0068473",7.7,107673,10.01,7.3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3,"tm127384","Monty Python and the Holy Grail","MOVIE","King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,"PG",91,"['GB']",NA,"tt0071853",8.2,534486,15.461,7.811,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
4,"tm120801","The Dirty Dozen","MOVIE","12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,"",150,"['GB', 'US']",NA,"tt0061578",7.7,72662,20.398,7.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"tm70993","Life of Brian","MOVIE","Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,"R",94,"['GB']",NA,"tt0079470",8,395024,17.77,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,"tm14873","Dirty Harry","MOVIE","When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,"R",102,"['US']",NA,"tt0066999",7.7,155051,12.817,7.5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
8,"tm119281","Bonnie and Clyde","MOVIE","In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,"R",110,"['US']",NA,"tt0061418",7.7,112048,15.687,7.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,"tm98978","The Blue Lagoon","MOVIE","Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,"R",104,"['US']",NA,"tt0080453",5.8,69844,50.324,6.156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,"tm44204","The Guns of Navarone","MOVIE","A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,"",158,"['GB', 'US']",NA,"tt0054953",7.5,50748,13.844,7.3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"tm67378","The Professionals","MOVIE","An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.",1966,"PG-13",117,"['US']",NA,"tt0060862",7.3,16446,13.123,7.1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
